3RT1055-2XJ46-0LA2,"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>SIRIUS 3RT contactors with extended application range, 3-pole","Traction contactor, AC-3 150 A, 75 kW / 400 V Coil 72 V DC x (0.7-1.25) PLC input 24-110 V DC Auxiliary contacts 2 NO + 2 NC 3-pole size S6 Busbar connections Coil connection: Spring-type terminal"
3RT1044-3AN60,... and everything else you need>Ordering Data Overview,"Power contactor, AC-3 65 A, 30 kW / 400 V 200 V AC, 50 Hz / 200-220 V 60 Hz, 3-pole, Size S3, Spring-type terminal !!! Phased-out product !!! Successor is SIRIUS 3RT2"
3RT2025-1AG24,"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT contactors, 3-pole, up to 250�kW","power contactor, AC-3 17 A, 7.5 kW / 400 V 2 NO + 2 NC, 110 V AC, 50 / 60 Hz, 3-pole, Size S0, screw terminal Removable auxiliary switch"
3RT1054-3AB36,"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT contactors, 3-pole, up to 250�kW","Power contactor, AC-3 115 A, 55 kW / 400 V AC (50-60 Hz) / DC operation 23-26 V UC Auxiliary contacts 2 NO + 2 NC 3-pole, Size S6 with box terminals Drive: conventional Spring-type terminal"
3RT1346-1AF00,... and everything else you need>Ordering Data Overview,"Contactor, AC-1, 140 A, 110 V AC, 50 Hz, 4-pole, Size S3, Screw terminal !!! Phased-out product !!! Successor is SIRIUS 3RT2 Preferred successor type is &gt;&gt;3RT2346-1AF00&lt;&lt;"
3RT2027-2AN24,"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT contactors, 3-pole, up to 250�kW","Power contactor, AC-3 32 A, 15 kW / 400 V 2 NO + 2 NC, 220 V AC 50/60 Hz, 3-pole Size S0, Spring-type terminals Removable auxiliary switch"
3RT1046-1AM20-0UA0,... and everything else you need>Ordering Data Overview,"Contactor, 50 HP, 460 / 575 V 208 V AC, 50 / 60 Hz, 3-pole, Size S3 Screw terminal NEMA size 3 !!! Phased-out product !!! Successor is SIRIUS 3RT2"
3RT1034-3AG10,... and everything else you need>Ordering Data Overview,"Power contactor, AC-3 32 A, 15 kW / 400 V 110 V AC, 60 Hz / 100 V AC, 50 Hz, 3-pole, Size S2, Screw terminal Auxiliary circuit: Spring-type terminal !!! Phased-out product !!! Successor is SIRIUS 3RT2"
3RT1046-1AD00,... and everything else you need>Ordering Data Overview,"Power contactor, AC-3 95 A, 45 kW / 400 V 42 V AC, 50 Hz 3-pole, Size S3 Screw terminal !!! Phased-out product !!! Successor is SIRIUS 3RT2 Preferred successor type is &gt;&gt;3RT2046-1AD00&lt;&lt;"
3RT1946-6A,Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Contacts,"Replacement contact pieces for contactor Size S3, 3-pole, AC-3, 45 kW, 3 NO, main contacts, consists of 3 movable and 6 fixed contacts with mounting parts !!! Phased-out product !!! Successor is SIRIUS 3RT2"
3RT1975-5AT32,Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Solenoid coils,"Changeover operating mechanism for contactors 3RT107, 3RT127, 3RT147, AC (50...60 Hz) / DC operation, 575 ... 600 V Operating mechanism: Standard,economy circuit Spring-type terminal"
3RT1055-6AM36,"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT contactors, 3-pole, up to 250�kW","Power contactor, AC-3 150 A, 75 kW / 400 V AC (50-60 Hz) / DC operation 200-220 V UC Auxiliary contacts 2 NO + 2 NC 3-pole, Size S6 Busbar connections Drive: conventional screw terminal"
